,age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,date
253,33,technician,divorced,secondary,no,140,yes,no,unknown,227,1,-1,0,unknown,2008-05-05
254,50,management,single,tertiary,no,297,yes,no,unknown,119,1,-1,0,unknown,2008-05-05
255,39,blue-collar,married,primary,no,279,yes,no,unknown,361,1,-1,0,unknown,2008-05-05
256,59,entrepreneur,divorced,secondary,no,901,yes,no,unknown,73,3,-1,0,unknown,2008-05-05
257,30,technician,single,secondary,no,2573,yes,no,unknown,67,2,-1,0,unknown,2008-05-05
258,36,services,married,secondary,no,143,yes,yes,unknown,350,1,-1,0,unknown,2008-05-05
259,40,blue-collar,married,secondary,no,475,yes,no,unknown,332,2,-1,0,unknown,2008-05-05
260,53,blue-collar,married,secondary,no,70,yes,no,unknown,611,2,-1,0,unknown,2008-05-05
261,34,management,single,tertiary,no,318,yes,no,unknown,113,2,-1,0,unknown,2008-05-05
262,37,technician,married,secondary,no,275,yes,no,unknown,132,1,-1,0,unknown,2008-05-05
263,42,management,divorced,tertiary,no,742,yes,no,unknown,58,3,-1,0,unknown,2008-05-05
264,41,entrepreneur,married,primary,no,236,yes,no,unknown,151,1,-1,0,unknown,2008-05-05
265,30,student,single,tertiary,no,25,yes,no,unknown,89,2,-1,0,unknown,2008-05-05
266,37,management,single,tertiary,no,600,yes,no,unknown,152,1,-1,0,unknown,2008-05-05
267,39,admin.,divorced,secondary,no,-349,yes,no,unknown,611,2,-1,0,unknown,2008-05-05
268,41,blue-collar,married,primary,no,183,yes,yes,unknown,110,2,-1,0,unknown,2008-05-05
269,40,blue-collar,married,primary,no,0,yes,no,unknown,463,1,-1,0,unknown,2008-05-05
270,42,management,single,tertiary,no,0,yes,yes,unknown,562,2,-1,0,unknown,2008-05-05
271,40,blue-collar,divorced,primary,no,0,yes,no,unknown,962,1,-1,0,unknown,2008-05-05
272,57,technician,married,secondary,no,1078,yes,no,unknown,10,4,-1,0,unknown,2008-05-05
273,56,entrepreneur,divorced,secondary,no,155,no,no,unknown,118,3,-1,0,unknown,2008-05-05
274,37,admin.,married,secondary,no,190,yes,no,unknown,92,2,-1,0,unknown,2008-05-05
275,59,retired,married,secondary,no,319,yes,no,unknown,143,3,-1,0,unknown,2008-05-05
276,39,services,divorced,secondary,no,-185,yes,no,unknown,189,3,-1,0,unknown,2008-05-05
277,49,services,married,secondary,no,47,no,no,unknown,234,2,-1,0,unknown,2008-05-05
278,38,services,single,secondary,no,570,yes,no,unknown,75,2,-1,0,unknown,2008-05-05
279,36,self-employed,married,tertiary,no,19,no,no,unknown,189,2,-1,0,unknown,2008-05-05
280,50,blue-collar,married,primary,no,61,yes,no,unknown,621,3,-1,0,unknown,2008-05-05
281,41,admin.,married,secondary,no,-62,yes,yes,unknown,55,2,-1,0,unknown,2008-05-05
282,54,technician,married,tertiary,no,258,no,no,unknown,310,4,-1,0,unknown,2008-05-05
283,58,blue-collar,married,primary,no,76,yes,no,unknown,156,2,-1,0,unknown,2008-05-05
284,30,blue-collar,single,secondary,no,0,yes,no,unknown,5,2,-1,0,unknown,2008-05-05
285,33,admin.,single,secondary,no,352,yes,no,unknown,225,2,-1,0,unknown,2008-05-05
286,47,admin.,married,secondary,no,368,yes,no,unknown,125,2,-1,0,unknown,2008-05-05
287,50,technician,single,tertiary,no,339,yes,no,unknown,2,3,-1,0,unknown,2008-05-05
288,32,blue-collar,married,secondary,no,1331,yes,no,unknown,286,2,-1,0,unknown,2008-05-05
289,40,self-employed,married,secondary,no,672,yes,no,unknown,164,2,-1,0,unknown,2008-05-05
290,37,management,married,tertiary,no,58,yes,no,unknown,98,2,-1,0,unknown,2008-05-05
291,54,technician,single,unknown,no,447,yes,no,unknown,742,2,-1,0,unknown,2008-05-05
292,24,student,single,secondary,no,423,yes,no,unknown,226,3,-1,0,unknown,2008-05-05
